text, coorX, coorY, username, created at, hashtag(s) 
#BudapestByNight #Sunset #RiverDanube @ Riverside Budapest https://t.co/kExhnVoqDy,19.0503, 47.4719,Priya_B_x,Sun Nov 06 23:44:32 +0000 2016,#BudapestByNight #Sunset #RiverDanube 
First post #daylightsavingtime #sunset. Not a fan of it getting dark so early. #newyork https://t.co/kqk8ntyj5w,-74.0064, 40.7142,chrisalanjones,Sun Nov 06 23:44:25 +0000 2016,#daylightsavingtime #sunset #newyork 
We were all yellow. <br/><br/>#ChoosePhilippines #wanderlust  <br/>#Mountain #Sunset #View #vacation https://t.co/GjIVjI2NJ7,121.01899618, 14.57584347,COCOhernandez,Sun Nov 06 23:42:13 +0000 2016,#ChoosePhilippines #wanderlust #Mountain #Sunset #View #vacation 
Last sunset of Sanity? #uselection #waterjet #sunset #sun #alpine #autumn #fall #clouds #zug https://t.co/rmc9KTBLBm,8.51152511, 47.17248792,jwtavelli,Sun Nov 06 23:42:08 +0000 2016,#uselection #waterjet #sunset #sun #alpine #autumn #fall #clouds #zug 
#sunset #pensagram @ Pensacola Blue Wahoos Ballpark https://t.co/xKDlQoRz4E,-87.2188349, 30.4048409,nhubert24,Sun Nov 06 23:41:35 +0000 2016,#sunset #pensagram 
Perspective #naples #sunset #floridasunset #sundayafternoon #gulfofmexico #gulfcoast https://t.co/rB41IcbXpH,-81.80642837, 26.13168741,Vicemily_P,Sun Nov 06 23:41:04 +0000 2016,#naples #sunset #floridasunset #sundayafternoon #gulfofmexico #gulfcoast 
All your #friends think<br/>Ride into the #sunset <br/>Fly into the sunset<br/>And away we're thrown<br/>Into https://t.co/YxC4rz7XOR,14.73869499, 40.86084089,EffyDacierno,Sun Nov 06 23:38:59 +0000 2016,#friends #sunset 
// Atlantic Beach /.  ...i had to jump to get this one. #ups #dronelife #atlanticbeach  #sunset https://t.co/JtDLqQtUaU,-76.78070123, 34.69745898,joshwilsonphoto,Sun Nov 06 23:38:04 +0000 2016,#ups #dronelife #atlanticbeach #sunset 
Shorelines and Sunshine.  #Sunset #LightHouse #PureMichigan #Clouds #Shoreline #Pier https://t.co/0F4jZPYrWB,-86.48113402, 42.11035192,BCarter90,Sun Nov 06 23:37:16 +0000 2016,#Sunset #LightHouse #PureMichigan #Clouds #Shoreline #Pier 
Florida skies     #saltlife #floridalivin #ilivewhereyouvacation #stpetebeach #sunset https://t.co/7hKeIlx1eY,-82.748962, 27.744432,shonniemac23,Sun Nov 06 23:35:47 +0000 2016,#saltlife #floridalivin #ilivewhereyouvacation #stpetebeach #sunset 
